Vault | Склеп
red honey | червоний мед
Chronicler | Хроніст
Notary | Нотаріус
sorrow-spider, sorrow-spiders | павук скорботи, павуки скорботи
Skin-Check | Перевірка шкіри
Mrs Collier | Пані Кольєр
Rat Star | Щуряча Зоря
St Brendan's fire | Вогонь Святого Брендана
Flea-Ridden Mayor | Блохастий Мер
Pentecost apes | мавпи П'ятидесятниці
Crawcase | Кроукейс
Scarred Buccaneer | Порубцьована Буканірка
heart-metal | серцевий метал
Near-Forgotten Betrayer | Майже Забутий Зрадник
the Maw | Паща
Restful Nights | Спокійні Ночі
the Wretched Mog | Нещасний Моґ
Gap-Toothed Gunner | Щербатий Гармаш
His Complexity | Його Складність
Her Enduring Majesty | Її Незмінна Величність
the Icarus (weapon) | Ікар
Bishop of Southwark | єпископ Саутварка
the Rhine | Рейн
Pangaea | Пангея
longshanks (race) | довгоногі
