the Maw | Паща
Pentecost ape | мавпа П'ятидесятниці
the Ghost of the Ash Isthmus | Привид Попелястого Перешийка
the Sun-Priests | Сонячні Жерці
the Mirror-Mad | Дзеркальні Безумці
the White-and-Golds | Біло-Золоті
Father's Bones | Кістки Батька
the Suggestion | Навіювання
the Slow-Blinking Vendor | Повільноморгаюча Торговка
The Soaring Glory | «Небесна Слава» (цепелін)
Midnight Thalattes | опівнічні талатти
Behemoustaches | бегемовуси
Beloveds | Кохані
the Venturer | Шукач Пригод
the Muscular Prioress | Мускуляста Пріореса
the Glass Garden | Скляний Сад
the Ten Thousand Minds' Repository | Сховище Десяти Тисяч Розумів
viric (gases/flame/glow) | віричний (полум'я, сяйво)
the Travel-Writer | Мандрівний Письменник
the Medusa's Head | «Голова Медузи» (таверна)
the Once-Great Poet | Колись-Великий Поет
lamplighter bee | бджола-ліхтарник
Penstock | Пенсток
Her Enduring Majesty | Її Незламна Величність
