Mollyflower | моллі-квітка
Parabolan | параболанський
Wisdom (місце) | Мудрість
Whithern | камівський
Mog | Мог
Guinea Page | Морська Сторінка (каламбур: guinea pig + page = морська свинка + сторінка)
Sunless Sea | Безсонячне Море
Milebreaker | Милелам (за зразком "криголам")
Mr Fires | Пан Вогонь
Bultitude | Балтітюд
Carrow | Керроу
Mrs Plenty | Пані Достаток
Uncle Ankle | Дядько Кісточка
Malebolge | Мальболдже
Calvary (тут) | Голгофа
Caminus | Камінус
Fortas | Фортас
Peleghast | Пелегаст
Devilbone | чортокістка
Mutersalt | мутерсіль
Harlot-Fry | Повій-Малька (непевний варіант, див. звіт)
Scuttering Company | Метушлива Компанія
Gesundheit | залишено без перекладу (німецьке слово)
