Aestival | Естівал
Huffam | Хаффам
Sooth & Cooper | Сут і Купер
Lily Clathermont | Лілі Клетермонт
Void's Approach | Підступи Порожнечі
the Vengeance of Jonah | «Помста Йони»
lifebergs | живокриги
glim | глім
zonar | зонар
lungweed | легенева трава
Bubble-mouths | Бульбашники
athanor-stove | піч-атанор
the Cannoneer | Гарматник
the Pentecost apes | мавпи П'ятидесятниці
the Vault of the First Emperor | Гробниця Першого Імператора
sorrow-spiders | скорботні павуки
tether | прив'язь
Scion | Спадкоємець
the Pillared Sea | Море Колон
the Conscientious Mercenary | Сумлінний Найманець
the Sallow Philosopher | Блідий Філософ
the Acolyte | Аколіт
Regret (city on chart) | Жаль
Remembrance (city on chart) | Спомин
Refuge (city on chart) | Прихисток
Delight (city on chart) | Втіха
Flowers (city on chart) | Квіти
Freedom (city on chart) | Свобода
Peace (city on chart) | Спокій
Janupril | Січквітень
the Feast of All Shrieks | Свято Всіх Криків
Saint Aegidius' Day | День Святого Егідія
the Maw | Паща
Before (mythic era) | Прадавнина
the Master (dance master, Wildweald Court) | Майстер
