King's Claw | Пазур Короля
the Avuncular Broker | Дядечкуватий Брокер
Little London | Малий Лондон
Zubmariner DLC | Zubmariner DLC (назва доповнення, не перекладається)
the Nacreous Outcast | Перламутровий Вигнанець
Undercrow | Підкрук
Fountainhead Island | Острів Джерело
animescence | анімесценція
the Iron and Misery Company | компанія «Залізо та Скорбота»
the Red Eminence | Червона Еміненція
Hearthsake Island | Острів Хартсейк
the Irrepressible Cannoneer | Невгамовний Гармаш
the Avaricious Theologist | Жадібний Теолог
the Austere Acolyte | Суворий Послушник
the Shattered Citadel | Розбита Цитадель
Sovereign Island | Острів Суверен
the Monkey Court | Мавпячий Двір
Lady of the Cages | Пані Кліток
Sacks and Snow | Мішок і Сніг
City of Remembrance | Місто Спогадів
the Severe Chemist | Суворий Хімік
Cotterell & Hathersage | Коттерелл і Хатерсейдж
the Turtle | Черепаха
the Bandaged Poissonnier | Забинтований Пуасоньє
heartmetal | серцевий метал
Cat (quality, Empire of Hands) | Кіт
Mouse (quality, Empire of Hands) | Миша
