Putterpony | Патерпоні (назва підморника)
Desert of Eyes | Пустеля Очей
Listening Desert | Слухаюча Пустеля
Desert of Delights | Пустеля Насолод
Wary Deep-Diver | Обачний Глибинний Пірнальник
lungweed | легенева водорість
Scion | Спадкоємець (ігровий термін: дитина, що дає два спадки)
Bearded Watchman | Бородатий Вартовий
Snivelling Caitiff | Скиглявий Боягуз
Unctuous Fellow | Єлейний Добродій
the White | Білий
Seventh Sensation | Сьоме Відчуття
braising-alembic | томильний алембік
the Seven | Семеро
Lady of the Gardens | Пані Садів
Lady of the Cages | Пані Кліток
the great Maw | Велика Паща
Lily Clathermont | Лілі Клетермонт
shroomer | грибар / грибарка (мешканець Утергриба)
the Mountain | Гора (згадана поруч з Прадавнім Континентом)
