the Forgotten Quarter | Забутий Квартал
Penstock | Пенсток
the Upper Rings | Верхні Кільця
the Maw | Паща
the King with a Hundred Hearts | Король зі Ста Серцями
Sea Fever | Морська Гарячка
Scion | Спадкоємець
the City of Delights | Місто Насолод
the Unctuous Fellow | Єлейний Добродій
Greyfields First Sporing | Ґрейфілдське Перше Спорування
the High Table | Високий Стіл
the Parthenaeum Club | клуб «Партенеум»
the Benthic College | Бентичний Коледж
Lady Agatha Treadgold | леді Агата Тредголд
the White-and-Golds | Біло-Золоті
the Midnight Whale | Опівнічний Кит
the Gentleman | Джентльмен
the Crypt-gate | Брама Крипти
