# Нові назви з партії TEASER 001 (яких немає в ухваленому глосарії)
# формат: англійська | запропоноване українською | коментар

the Grey Chamber | Сіра Палата | приміщення, де Замаскована Урядовиця приймає прохання (3883f249d7)
the Cruel Queen | Жорстока Королева | карта/фігура у ворожінні (3115b4199e)
the Besieged King | Обложений Король | карта/фігура у ворожінні (3115b4199e)
the Operator | Операторка | жінка, що веде облік колоністів (90125def84)
the Plummy Anthropologist | Пишномовна Антропологиня | "plummy" = манірна великосвітська вимова (ce19d3ef9d)
the Maw | Паща | джерело підземних поштовхів, "the Maw quakes" – землетруси Пащі (9f505011d1)
the Ear | Вухо | орієнтир на Лику, куди сходяться мешканці (18eb744bdd)
the Mayor | Мер | (68a5f5500f)
the Sisterhood | Сестринство | спільнота Сестер на Абатській Скелі (5737b98e65)
the Leopard | Леопард | (647ba99914)
Tennyson | Теннісон | поет, транслітерація (3e475218f0)
the Once-Talkative Rattus Faber | Колись Балакучий Rattus Faber | латину не чіпаємо (2790adcb2f)
the Whithern | Камівська | глосарій має прикметник "камівський"; тут це особа жіночого роду (9f247b31e5)
Moon Moth / Moon-Moth | Місячний Метелик | у глосарії з малої як істота; тут виступає як ім'я супутника (84818f32ed, 5305d67c5b)
the Deviless | Дияволиця | коротка форма від "Замріяна Дияволиця" (5940bab1cc, 08b33dcf11)
Mirrorcatch Box | дзеркалолов | уже в глосарії, лишено без змін
bouillabaisse | буябес | страва (eb389fe42f)
