Web of Stone | Павутина Каменю
Mog | Мог
Wretched Mog | Нещасний Мог
Little Gate | Мала Брама
Undercrow | Підворон
Fortas Kettle | Фортасів Казан
Smokehouse | Коптильня
Rose-Market | Трояндовий Ринок
Lifeberg | Живокрига
Mirrored Gates | Дзеркальні Ворота
Behemoustache | Бегемотовус
Flood Court | Двір Потопу
Parabox | Парабокс
the Iridescence | Райдужність
the Grotesquery | Гротескарня
Peachtree Isle | Персиковий Острів
Conodont | Конодонт
Freedom (place name) | Свобода
Bilious Cleft | Жовчна Розколина
Tongue-point Pinnacle | Шпиль Гострого Язика
Ferstel | Ферстель
Civilisation (world stat) | Цивілізація
