the Ear (at Visage) | Вухо
Cavendish Abbey | Кавендішське Абатство
lamplighter bees | бджоли-ліхтарники
Pirate-King's Notice | Увага Пірата-Короля
Muscular Monk | М'язистий Монах
the Glib Historian | Балакучий Історик
Conscientious Mercenary | Сумлінний Найманець
Jervaise | Джервейз
the Replete | Пересичені
Dilmun Club | Клуб «Дільмун»
Mithridate Office | Мітридатна Контора
the Spire | Шпиль
Parabox | Парабокс
Wan Archivist | Бліда Архіварка
the Master of the Dance | Майстер Танцю
wreckers | берегові пірати
Trespasser | Порушник
the Gracious Widow / the Widow | Ласкава Вдова
Spite | Злоба
the Topsy King | Король Догори Ногами
the Flit | Фліт
Feducci | Федуччі
December (Calendar Council member) | Грудень
the Conodont | Конодонт
eel-box | вугрова скринька
dice-rake | гральні грабельки
bubble-mouth | бульбашкорот
the Gunner (officer title) | Гармаш / Гармашка
