the Seven Who Fell | Семеро, що Впали
the Seven Who Follow | Семеро, що Йдуть Слідом
the Nativity | Різдво
the Accord of Grace | Угода Милосердя
sorrow-spider | павук печалі
the Nadir | Надир
the Forge | Кузня
shapeling, shapelings | формотворець, формотворці
the Sundered Sea | Розколоте Море
Morelways | Морелвейз
the Undercrow | Підворон
Tyrant Moths | тиран-метелики
the Vendor (Hideaway) | Продавчиня
the Flea Ridden Mayor | Обліплений Блохами Мер
the Gracious | Милостиві
heptycheer | гептичир
the Ragged Crow | Обшарпаний Ворон
