Affable Factor | Люб'язний Фактор
bolegus-fellers | болегус-хлопці
Austere Acolyte | Сувора Аколітка
the Whithern (inhabitants of Whither) | камовці
a Jackal (Visage enforcer) | Шакал
Penties (informal for Empire of Hands people) | Пенти
sorrow-spiders | павуки скорботи
Cannoneer | Канонір
Codex (fossilised sigils of) | Кодекс
tether (jar of) | прив'язь
wreckers | уламкошукачі
Undergalley | Підгалерея
Deeply Tanned Vagabond | Глибоко Засмаглий Волоцюга
the Geometer | Геометр
Free Evening | Вільний Вечір
shroomers | грибники
