Lifeberg | Живокрига
BatSwarm | Рій мормишів
Jillyfleur | Джилефлер
zouls | мордуші
the Exile | Вигнанець
the Fire-Keeper | Хранитель Вогню
the Propagandist | Пропагандист
Sovereign Island | Суверенний Острів
the Web of Stone | Кам'яна Павутина
the Silent House | Мовчазний Будинок
the Falling City | Місто, що Падає
the Rayed Wheel | Променисте Колесо
the Hungry Dead | Голодні Мертві
the Revenue Men | Акцизники
the Veiled Lady | Пані під Вуаллю
the Time Before | Часи До Того
Destiny's Engine | Двигун Долі
the Root-Gallery | Коренева Галерея
the Venous Salon | Венозний Салон
the Grey Chamber | Сіра Палата
Sapphire Chamber | Сапфірова Зала
the Gant Chamber | Гантова Палата
the Inky Blotter | Чорнильний Промокач
No One's Orchard | Нічийний Сад
the Questing Beast | Звір Пошуку
the Serpent-Image | Зміїний Образ
Auroral Rupture | Аврорний Розрив
Admiralty Yards | Верфі Адміралтейства
Ship of Answers | Корабель Відповідей
the Geometer | Геометр
