Pentecost apes | мавпи П'ятидесятниці
the Silent Gallery | Тиха Галерея
the Acolyte | Послушниця
the Postal Rat | Поштовий Щур
the Chelonate Chronologist | Хелонатський Хронолог
the Drownie Palegrapher | Потопельниця-Палеографиня
the Marrow Protocols | Протоколи Кісткового Мозку
the Iron and Misery | «Залізо і Скорбота»
the Agnihotri | Агніхотрі
the Garden Tower | Садова Вежа
the Taimen Clan | Клан Тайменя
St Cyriac's College | Коледж Святого Киріака
the Game of Truths | Гра Правд
the Five Towers | П'ять Веж
