His Complexity | Його Складність
the Powdered Custodian | Напудрений Доглядач
the Composer | Композитор
the Bishop | Єпископ
the Rival | Суперниця
the Irrepressible | «Незборний»
the Cathedral (Dahut) | Собор
the Cathedral Crypt | Соборна Крипта
the Sacred District | Священний Квартал
Blue Prophets | Сині Пророки
the Mountain's Blood | Кров Гори
the Rat Star | Щуряча Зірка
the Nidaheen | нідахенці
the Travertine Vault | Травертинове Сховище
the Catties | Котярі
the Leopard | Леопард
the Clan | Клан
Great Wind | Великий Вітер
