the Boke of Sharpes | Кніга Гострот
Mr Voluminous | Пан Об'ємний
the Nativity | Різдво
Bandage-Colony | Бинтяна Колонія
Thornwell Croft | Хутір Торнвелл
Heartscross House | Дім Серцехреста
the Shady Sort | Темний Тип
the Crowded Mouth | Тісне Гирло
the Scrimshaw Chronicler | Кістяний Літописець
the Venturer | Шукач Пригод
the Emerald Vista | Смарагдовий Краєвид
the Snow Child | Снігова Дитина
St Joshua | Святий Джошуа
St Fiacre | Святий Фіакр
the Angler Crab | Краб-Вудильник
the Bound Shark | Скута Акула
the Diamond Bridge | Діамантовий Міст
the Maw-Shrine | Святилище Пащі
the Pale Wood | Блідий Ліс
the Labyrinth of Tigers | Лабіринт Тигрів
the White-Cloaked Guard | Вартовий у Білому Плащі
the Charitable Hospital | Благодійна Лікарня
the Jocular Gentleman | Жартівливий Джентльмен
the Temple of Apis | Храм Апіса
the Mosaic Floor | Мозаїчна Підлога
the Serene Aquarium | Умиротворений Акваріум
Baseborn | Низькородний
Fowlingpiece | Фузея
the Shady Cook | Темний Кухар
the Campaigner | Вояка
Winged Things | Крилаті Істоти
kapitano | kapitano (не перекладено – стилізація «капітан» іноземним акцентом персонажа)
