White-and-Golds | Біло-Золоті
the Customs House | Митниця
Bonny Swan (ship) | «Бонні Свон»
the Almanac | Альманах
the Undergalley | Підгалера
Complacent Stoker | Безтурботний Кочегар
sorrow-spiders | скорботні павуки
the Outcast | Вигнанець
bone-scribe | кістяний писар
the Gracious | Милостиві
the Operator | Оператор
Skin-Check | Перевірка Шкіри
the Unctuous Fellow | Єлейний Добродій
Poissonnier | Пуасоньє
the Leopard (clan) | Леопард
Flourishing-of-Years | Розквіт-Років
The Footman's Ghost (book) | «Привид Лакея»
