the Neither | Небуття
shapelings (Flukes' shapelings) | формованці
the Prester | Престер
The Sapphire Affair | Справа Сапфіра
the Taimen (кодова назва справи) | Таймень
the Survivor | Вижилий
Flute Street | Флейтова Вулиця
Axile | Аксіль
the Master of Footage | Розпорядник Площ
Specularum (театр, латинська назва) | Specularum (лишено латиною)
The Dauntless Trimaran (назва п'єси) | «Безстрашний Тримаран»
airag | айраг
Network (характеристика Порт Карнеліана) | Мережа
The Maw | Паща
lungweed | легенева водорість
the Lost Treasure Hunter | Мисливець за Загубленим Скарбом
Fountainhead | Джерело
the Five Principal Mirrors | П'ять Головних Дзеркал
the Fire-Keepers | Хранителі Вогню
the Blue Bazaar | Блакитний Базар
A White-and-Gold (агент(ка) Міністерства) | Біло-Золотий / Біло-Золота
