the Widow | Вдова
Life of Luxury (Ambition) | Розкішне Життя
Seven-Serpent | Семизмій
Latitudinarian | Латитудинарій
the Redolent Fleshmerchant | Запашний М'ясоторговець
the Custodial Chef | Черговий Кухар
the Five Towers (Varchas) | П'ять Веж
fungers | грибоїди
the Locust (faction, Visage) | Сарана
the Bats (faction, Visage) | Кажани
the Acolyte, the Austere Acolyte | Аколітка, Сувора Аколітка
the Salon of Silver Salts | Салон Срібних Солей
Iron & Misery (faction/uniform) | Залізо та Горе
liver-sharp (quality) | загострена печінка
the Sun-Seers | Сонцевидиці
House of Cavy | Дім Кавій
the New Sequence | Нова Послідовність
