Caminus Yards | Верфі Камінус
Gleam | Блиск (лічильник за відносно щасливі кінцівки)
Snow Child | Снігова Дитина
Flensing | Білування (тип атаки)
the Maw | Паща
ironbird | Залізний Птах
the Replete | Ситі
Zong of the Zee | «Пісня Мора» (каламбур на «Song of the Sea», за принципом мор-)
'Seaworm' torpedoes | торпеди «Морський Черв'як»
Gloom | Морок (лічильник за відносно похмурі кінцівки)
the August Travel-Writer | Поважний Мандрівний Письменник
Leadbeater & Stainrod | Лідбітер і Стейнрод
Parabolan Panther | Параболанська Пантера
Aestival | Естиваль
the Empire of Souls | Імперія Душ
Roser's Wharf | Розерова Пристань
the Cumaean Locks | Кумейські Шлюзи
the Leopard Clan | Клан Леопарда
the Taimen Clan | Клан Таймень
The Rainbowing | Райдужіння
the Fortas Kettle | «Фортас Кеттл» (назва корабля)
Pulp-Miners | Пульпові шахтарі
Nerveline | Нервалін
deep-lurkers | причаєнці глибин
sorrow-spider(s) | павук(и) смутку
animescence | анімесценція
