the Acolyte | Послушник
the Guard (blue-cloaked, Varchas) | Вартова
zun | зонце
the Sharp | Гострі
Zeeman (rank) | матрос
Hodgkiss | Годжкіс
the Cock and Magpie | «Півень і Сорока»
The Man in the Well | «Чоловік у криниці»
sorrow-spiders | скорбопавуки
the Set (Modiste's circle) | Коло
the Art (occult craft) | Мистецтво
Museum of Mistakes | Музей Помилок
ushabti | ушебті
Mordicalia | Мордикалія
the Maw | Паща
Nidaheen | нідахці
Pentecost ape | мавпа П'ятидесятниці
the Singing Mandrake | «Співочий Мандрагор»
the Flit | Фліт
the Latitudinarian | латитудинарець
the Mountain | Гора
the Prester | Пресвітер
Richard | Річард
