Hull-harvest | Жнива Корпусу
Portentum | Портентум
Expulsus | Експульсус
Pneumatic Ratsender | Пневматичний Щуросилач
Bound-Shark | Прикута Акула
Undergalley | підгалера
Faustic | Фаустівський (від «Фауст»)
Behemoustache | Бегемотовус (Behemoth + вуса)
Milliner-bats | Кажани-Капелюшники
Lornest Fluke | Найзабутіший Флюк
Jillyfleur | Медузоцвіт
Jillyfish | Медузка
Putterpony | Пихкопоні
Soultaker | Забирач Душ
Boundling | Скутеня
Wreckship | Мертвокорабель
Lifeberg | Живокрига
Thalatte | Талатта
Heirlooms | спадкові реліквії
Stormbones | Штормокості
the Ragged Crow | Пошарпана Ворона
the Sea of Voices | Море Голосів
the Calumnies | Обмови
the Pillared Sea | Колонне Море
Void's Approach | Прохід Порожнечі
Boreal Reach | Бореальний Простір
the Pentecost Apes | П'ятидесятницькі Мавпи
the Promised Sea | Обіцяне Море
Dawn's Edge | Край Світанку
knot-oracles | вузлові оракули
Myceligaea | Мицелігея
the Feathered Sea | Пернате Море
the Mountain of Light | Гора Світла
the Mirrored City (epithet of Varchas) | Дзеркальне Місто
the Snares | Тенета
Errant's Gyrus | Звивина Блукальця
the Pale Haunt | Бліде Привиддя
Funging Station (Iron & Misery Co.) | Станція грибодобування «Залізо і Скорбота»
Flourishing-of-Years | Розквіт - Років
Jack-a-Dandy Stack | Скеля Джека-Чепуруна
the Finknottle Vortex | Вир Фінка-Ноттла
Puckeridge's Lookout | Дозірна Пакериджа
the Dubois Maelstrom | Вир Дюбуа
Darkgryphon Straits | Протока Темного Грифона
the Phosgene Bleaks | Фосгенові Пустки
Badstevener's Abyss | Безодня Бадстевенера
the Azaquoric Abyss | Азакворична Безодня
the Mercurius Deep | Меркуріанська Глибина
Ruegsegger Straits | Протока Рюгсеггера
the Sea of Autumns | Море Осеней
the Antonine Abyss | Антонінова Безодня
Prickfinger Wastes | Пустища Голкопальця
the Aferox Channel | Канал Аферокс
Lick-a-Monkey Crag | Скеля Лизни-Мавпу
the Kisigar Vortex | Вир Кізіґар
Andergard Harbour | Гавань Андергард
Bournvadus Pillar | Стовп Бурнвадус
Giannotti Harbour | Гавань Джаннотті
Hekaterine's Arch | Арка Гекатерини
the Barnsmore Gap | Прохід Барнсмор
Hodgerton's Bluff | Кручі Годжертона
