February (прізвисько жінки) | Лютий
Seaman Macfadzean | матрос Макфадзін
SO ARE WEE SHAPEDE (напис на вівтарі) | ТАКО МИ СОТВОРЕНІ
the Hooded Anthean | Антеєць у Каптурі
Zzouls (каламбур на souls) | Ззуші
Blue Prophets | Сині Пророки
the Severe Chemist | Суворий Хімік
Moon Moth (як ім'я персонажа) | Місячний Метелик
the Citadel | Цитадель
your Patron | ваш Покровитель
Prophet of the Unterzee | Пророк Підмор'я
Scarlatti | Скарлатті
hotbar (інтерфейс) | панель швидкого доступу
brig (корабельна в'язниця) | карцер
verger | паламар
