the Vault | Сховище
the Undercrow | Підвороння
Winterstrike | Зимоудар
the Silver Tree | Срібне Дерево
Karakorum | Каракорум
the Conodont | Конодонт
the Monkey Emperor | Мавпячий Імператор
Maybe: No Lilac | Можливо: Без Бузку
the Maw | Паща
the Snow Child | Сніжна Дитина
Zubmariner (DLC) | Підморник
Eschatologue-class | Есхатолог (клас дредноутів)
Caligo-class | Каліго (клас крейсерів)
Stymphalos-class | Стімфал (клас катерів)
Leucothea-class | Левкотея (клас яхт)
Caminus Yards | Верф Камінус
Bandersnatch | Бендерснетч
Compulsion (ship) | Примус
Hellthrasher (ship) | Пекломолот
Avid Suppressor (ship) | Жадібний Гнобитель
Leadbeater & Stainrod | Лідбітер і Стейнрод
Boadicea | Боудіка
Illyrian | Іллірієць
Winnower | Віяльник
Seaworm | Морочерв'як
the Name-Which-Burns | Ім'я-Що-Палає
Heartmetal | сердечний метал
Avernus | Авернус
Cabinet Noir | Cabinet Noir (без перекладу, фр. термін)
