Penstock | Пенсток
Fungus-Carters | грибоноші
Crocodile (role) | Крокодил
Heron (role) | Чапля
Locust (role) | Сарана
the Library of Parts | Бібліотека Ролей
Saint Croatoan the Lost | Святий Кроатоан Загублений
red honey | червоний мед
I&M | I&M (назва компанії, лишено без перекладу)
funger operation | грибозаготівельне підприємство
bolegus shrooms | гриби-болегуси
kirralee | кірралі
the Affable Factor | Приязний Фактор
Mog | Мог (кіт-компаньйон)
the Latitudinarian | Широкодум
heartmetal | серцевий метал
Greyfields | Грейфілдс
Far Mandelay | Манделей
Cantigaster | Кантигастер
the Devil-Apes | Диявол-мавпи
the Thing in the Mirror | Істота в Дзеркалі
the Cave-Snake | Печерний Змій
the Inhabiter of Wolves | Мешканець Вовків
the Hybrid Fiend | Гібридний Демон
the Mirrored Gates | Дзеркальні Врата
the Sequence | Послідовність
the Great Chain of Being | Великий Ланцюг Буття
the Judgements | Судді (зорі)
