the Sequencer | Секвенсер
Wretched Mog | Нікчемний Кіт
Dante's Grill | Гриль Данте
the Glib Historian | Балакучий Історик
Unctuous Overseer | Єлейний Наглядач
the Kettle (ship) | Чайник
Rosina's Onlookers | Глядачі Розіни
cosmogone | космогон
Lily Clathermont | Лілі Клетермонт
Hollow Street | Порожня вулиця
Tyrant's Gardens | Сади Тирана
Murgatroyd's Fungal Crackers | Грибні Крекери Мергатройда
the Arrant Limpet (ship) | Безсоромний Прилипало
the Vault | Сховище
the Carnelian Exile | Карнеліановий Вигнанець
Murinia | Мурінія
the Reaches | Простори
Penstock | Пенсток
the High Gate | Висока Брама
