Debonair Deductress | Галантна Дедуктивістка
the Maw | Паща
the Cavities | Порожнини
the Enigmatic Gentleman | Загадковий Джентльмен
the Jocular Gentleman | Жартівливий Джентльмен
Scion | Спадкоємець
knot-oracle | вузол-оракул
the Cat's Chiefest Claw | Найголовніший Кіготь Котів
the Far-Travelled Notary | Нотаріус Далеких Мандрів
Leonora Fortescue | Леонора Фортеск'ю
the Set (мистецький гурт піратів-художників) | Гурт
Blue Priest | Синій Жрець
the Prester | Пресвітер
Plummy Anthropologist | Манірна Антропологиня
Avid Gloves | Жадібні Рукавички
