Bandaged Poissonnier | Забинтований Пуасоньє
mutersalt | мутерсіль
the Sisters' Adversary | Супротивник Сестер
the Undercrow | Підкрук
the Flit | Шмиг
the Replete | Ситі
the Widower | Вдівець
the Wicket | Хвіртка
Penstock | Пенсток
the Shrine of St Joshua | Святилище Святого Джошуа
the Mirror Marches | Дзеркальне Прикордоння
a Once-Great Poet | Колись-Великий Поет
the Chelonate Chronologist | Хронолог Хелонату
the Fathomking's Judgement | Присуд Глибокороля
Iron and Misery Co. Funging Station | Мінова станція компанії «Залізо і Скорбота»
the Scholar | Науковець
Isery, the King's Claw | Ізері, Кіготь Короля
