Heavy-Lidded Fellow | Чоловік із Важкими Повіками
Trespassers | Чужинці
Seven-Serpent | Семизмій
Sun-Priests | Сонячні Жерці
Your Complexity | Ваша Складносте
the Icarus in Black | «Чорний Ікар»
St Erzulie | Свята Ерзулі
Masked Functionary | Замаскована Функціонерка
Huffam | Хаффам
Mr Voluminous | Пан Об'ємний
the Vault | Сховище
Causes for Concern | Причини для Занепокоєння
heptycheer | гептичир
the Chain | Ланцюг
the Admiralty Shipyards | Адміралтейські Верфі
Taste of Freedom | Смак Свободи
Storyteller | Оповідач
Experimental Modifications | Експериментальні Модифікації
