Postal Rat | Поштовий Щур
lamplighter bee | бджола-ліхтарник
Salt's Curse | Прокляття Солі
glim-lamp | глим-лампа
August Travel-Writer | Поважний Мандрівний Письменник
the Leopard | Леопард
Network | Мережа
the Bat | Кажан
House of Cavy | Дім Кавії
Murinia | Муринія
Monster-Hunters | Мисливці на Чудовиськ
peligin | пелігін
Doomed | Приречені
Aestival | Естиваль
the Lady in Lilac | «Пані в Бузковому»
the Exile | Вигнанка
Customs House | Митний Дім
Heavy-Lidded Fellow | Хлопака з Важкими Повіками
Port Palmerston | Порт Палмерстон
Shady Cook | Сумнівний Кухар
Museum of Mistakes | Музей Помилок
Anthean Advantage | Антейська Перевага
Souls | Душі
Suspicion | Підозра
Experimental Modifications | Експериментальні Модифікації
