the Eagle clan | клан Орла
the Fortas Kettle | «Фортас Кеттл»
fluke-rock | флюковий камінь
eden-fungus | едемський гриб
St Joshua | Святий Джошуа
the Midnighters | Опівнічники
Penstock | Пенсток
the Bright-Eyed Sequencer | Ясноокий Секвенсер
the Maw | Паща
the Wisp-Ways | Мерехтливі Стежки
Aestival | Естіваль
the Eye | Око
the Nightmare | Кошмар
Fragments | Фрагменти
the Agnihotri | Агніхотрі
the Pilgrimage | Прощa
the High Gate | Висока Брама
the Unexpurgated London Gazette | «Незацензурована Лондонська Газета»
Ironclad Will | Непохитна Воля
Whispering Trophy-Cabinet | Шепітна Шафа Трофеїв
the Zong of the Zee | Мор-пісня
Clathermont | Клетермонт
red honey | червоний мед
the Exile | Вигнанка
dentarchitects | зубоархітектори
the Mob | Юрба
the Arrant Limpet | «Запеклий Прилипало»
zeeweed | морзілля
sorrow-spiders | скорбопавуки
the Sallow Philosopher | Блідий Філософ
the Conscientious Mercenary | Сумлінний Найманець
Macfadzean | Макфадзен
