Beloved | Улюблений
Neither | Нічий
Crow (Underwater Entrance to Crow) | Ворона
Nookdiver, Nookdivers | закутківський пірнальник, закутківські пірнальники
Fountainhead Island | Острів Джерела
Leopard (title) | Леопард
Urbane Magician | Світський Чарівник
Sunlight (resource) | Сонячне Світло
Low Building | Низька Будівля
Three Graves | Три Могили
Sapphire Chamber | Сапфірова Зала
Amethyst Gallery | Аметистова Галерея
Fungal Infections Ward | Палата Грибкових Інфекцій
Library of Parts | Бібліотека Частин
Side of the Face | Бік Обличчя
Cornucopia of Cheating | Ріг Достатку Шахрайства
Garden of the Sharpest | Сад Найгостріших
House of the Amber Sky | Дім Бурштинового Неба
Corridors Of The Heart | Коридори Серця
Gant Pool | Гантове Плесо
Sovereign Island | Острів Владики
Pulp-Mines | Копальні Пульпи
Snow Child | Сніжна Дитина
Once-Great Poet | Колись-Великий Поет
Prester | Пресвітер
Ambitious Page | Амбітна Сторінка
Monkey Baronet | Мавпячий Баронет
Chandler of Souls | Торговець Душами
Cat's Chiefest Claw (epithet of Isery) | Найголовніший Кіготь Кота
Blemmigan Gallivanter | Блеммігановий Гулянт
Bandage-Colony | Бинтяна Колонія
jillyfish | перетерта медуза (жарт "jelly/Jilly" не переданий)
Tether (item, melts in mouth) | прив'язь (перекладено як звичайний іменник, назва не підтверджена)
Conodont | конодонт
