Tether-Priest | Прив'язаний Жрець
blackspore | чорноспор
Morelways | «Морелвейз»
Wisdom (fastness of Wisdom, місце) | Мудрість
The Inky Blotter | «Чорнильна Промокашка»
A Discovery! (якість) | «Відкриття!»
the Crab | Краб
light-crew | команда при світлі
Flinty Latitudinarian | Кременистий Латитудинарій
Veteran Privy Counsellor | Досвідчений Таємний Радник
Dauntless Temperance Campaigner | Безстрашна Поборниця Тверезості
Anxious University Student | Тривожний Студент Університету
Scarred Sister | Шрамована Сестра
the Bureau | Бюро
Taiman clan | клан Тайман
Cave-Pool | Печерна Заводь
Dream-Snakes | змії сновидінь
The Maw | Паща
Aestival (ймовірно назва корабля) | «Естіваль»
Sun-Priests | Сонячні Жерці
Greyfields | «Грейфілдз»
