Shady Sort | Темна Особа
The Last Tour | Останній Тур
lungweed | легеневодорость
the Maw | Паща
the Cavities | Порожнини
Debonair Deductress | Галантна Дедуктивістка
the Bishop of St Fiacre | Єпископ Святого Фіакра
the Gracious Widow | Милостива Вдова
Nuncio (місце, не персонаж Нунцій) | Нунціо
Horizon's Aspect | Подоба Обрію
Huffam | Хаффам
Slivvy | Слівві
Mutersalt | мутерсіль
Tale of Terror | Оповідь Жаху
the Hour of Our Reflection | Година Нашого Відбиття
the Rainbowing | Райдужіння
Spider-Silk | павучий шовк
Devilbone Dice | чортокістяні кості
Caskets of Sapphires | скриньки сапфірів
Parabola-Linen | полотно Параболи
the Mute Exiles | Німі Вигнанці
A Sigil-Eaten Navigator | Штурман, Пожертий Печатями
the Undercrow | Підворон
