the Cock and Magpie | «Півень і Сорока»
Parabolan Panther | Параболанська Пантера
the Sober Showman | Тверезий Балаганник
amphigator | амфігатор
Pentecost apes | мавпи Пентекосту
the Bearded Watchman | Бородатий Вартовий
Estate (stat) | Маєток
the Parthenaeum Club | Клуб «Парфенеум»
Glory's End (tale) | Кінець Слави
the Grand Sanatorium | Великий Санаторій
the Composer | Композитор
the Taimen (stronghold) | Таймень
the Myceligaean Mother | Мицеліганська Матір
the Porter | Носій
Nuppmiddt | Нуппміддт
The Gardens of the Serpent (play) | «Сади Змія»
the Detective | Детектив
bolegus | болегус
skirralee | скіралі
the Iron & Misery company | компанія «Залізо та Скорбота»
the Seven-Serpent | Семизмій
Mountain-Sherd | Гірський Черепок
Bacoli | Баколі
the Tyrrhenian coast | Тірренське узбережжя
