the Unsettled Salvager | Стривожена Рятувальниця
the Royal Bethlehem Hotel | Королівський готель «Віфлеєм»
Nookweed | закутківська трава
the Exile | Вигнанка
the New Sequence | Нова Послідовність
the Carrion Sea | Стерв'яче Море
Captivating Treasures | Чарівні Скарби
Heirlooms | Родинні Реліквії
Mr Wines | Пан Вина
Greyfields (wine) | «Сірі Поля»
Broken Giant (wine) | «Зламаний Велетень»
Khaganians | хаганці
Darkness-touched | Торкнуті Темрявою
the Fathomless Church | Бездонна Церква
the Widow | Вдова
