Urbane Devil | Світський Диявол
Rosers | Трояндарі
the Companion (creature) | Супутник
the Hooded Anthean | Антейка в Каптурі
Where the Wood Was (quality) | «Де Був Ліс»
Undergalley | Ундергеллі
sorrow-spiders | скорботні павуки
the Hairless Postwoman | Безволоса Поштарка
gant (colour) | ґант
lungweed | легенева трава
bolegus | болегус
the Birth | Народження
the Stolen River | Викрадена Річка
the Shipyard (Venderbight) | Верф
the Steward | Управитель
Avernus | Авернус
Exile (speaker label) | Вигнанець
