The Drownie Chorus | Хор Потопельників
The Redolent Fleshmerchant | Пахучий М'ясоторговець
meath | «meath» (незрозумілий термін, лишено без перекладу)
Avernus | Аверн
bubble-mouths | бульбашкороти
VIOLANT (colour) | ВІОЛАНТ / Віолант
GANT (colour) | ГАНТ (можливий конфлікт з "the Gant Pole" – Гантів Полюс)
Extraordinary Implications | Надзвичайні Імплікації
Legend's Heart | Серце Легенди
the Scrimshaw Chronicler | Кістяний Хронікар
Willing Guest | Охочий Гість
the Shattered Citadel | Розбита Цитадель
the Rose-Market | Трояндовий Ринок
Roser's Wharf | Причал Розера
Fragments | Фрагменти
Secrets | Таємниці
Port Demeaux | Порт Демо
the Vengeance of Jonah | Помста Йони
the Maw | Паща
The Nerveless | Безнервові
ironbird | залізоптах
Iria | Ірія
the Scarf and Feather Society | Товариство Шарфа та Пера
the Revenue Men | Митники
the Wreckers | Розбивачі
Sky-Light | Небесне Світло
L&S | L&S (абревіатура, не перекладено)
Flensing | білування
the Keeper of the Western Principal Mirror | Хранитель Західного Головного Дзеркала
the Judgement Resonator | Резонатор Суду
Recent News | Свіжі Новини
Admiralty's Favour | Прихильність Адміралтейства
the Circle of Bullets | Коло Куль
the Forgotten Quarter | Забутий Квартал
urchin-gangs | банди вуличних обірванців
the Truth-Hunting Chelonate | Хелонатка-мисливиця за правдою
the Scholar of Lost Causes | Науковець Загублених Справ
the Eschatologue | «Есхатолог» (назва корабля)
the Ocular Guard | Очна Варта
the Cannibal Pirates | Пірати-Канібали
the Glory | Слава (непевно – можливо скорочення від "Khan's Glory" / Слава Хана)
