Poissonnier | Рибник
Putterpony | путерпоні
Sober Showman | Тверезий Балаганник
Fulgent Impeller | Осяйний Імпелер
Cock and Magpie | Півень і Сорока
Scarred Sister | Шрамована Сестра
Ferstel | Ферстель
Ladybones Road | Дорога Кістяних Пань
Shady Sort | Підозрілий Тип
Jillyfish | Джилі-медуза
Nobody's Daughter | Донька Нікого
Bound-Shark | Прикута Акула
Violant Ink | Віолантове чорнило
the Eater (ship) | «Пожирач»
Wreckship | Уламкокорабель
Trespasser | Порушник
Boundling | Скутеня
lungweed | легеневодорость
Heartcross House | Будинок «Серцехрест»
Fountainhead Island | Острів Витоку
Apocyan | апоціановий
Mollyflower | Моллі-квітка
Clay Stokers | Глиняні Кочегари
Valves of Pearl | Перлові Стулки
Snow Child | Сніжна Дитина
Promising Poet | Багатообіцяючий Поет
Smith's Emporium | Ковальська Крамниця
Pillow-cut Rock | Подушкоподібний Камінь
