Pentecost apes | Мавпи П'ятдесятниці
the Silent Gallery | Мовчазна Галерея
Lily Clathermont | Лілі Клетермонт
Catties | Коти (мешканці Котячого Острова)
Masked Functionaries | Замасковані Урядовці
zonar | зонар
the Midnight Express | «Опівнічний Експрес»
The Honey Harvest (вистава) | «Медовий Врожай»
the White-and-Golds | Біло-Золоті
lacre | лакре
the Salt-Scarred Navigator | Мічений Сіллю Штурман
Penstock's Land Agency | Земельне Агентство Пенстока
the Merchant Venturer | Купець-Авантюрист
the Eater of Names | Пожирач Імен
the Great Shell | Велика Мушля
the Thief-of-Faces | Крадій Облич
the Vault (у сюжеті мавп П'ятдесятниці) | Сховище
