Investigator | Слідчий
Widower | Вдівець
Poissonnier | Пуасоньє
mutersalt | мутерсіль
Avaricious Lorn-Fluke | Жадібний Лорн-Флюк
Broker | Брокер
Hands-On Diplomat | Дипломатка-Практик
the Irrepressible (ship) | «Невгамовна»
the Implicit (ship) | «Неявна»
the Bonny Swan (ship) | «Красуня Лебідка»
Bishop | Єпископ
Midnighter | Опівнічник
Penstock | Пенсток
St Joshua | Святий Джошуа
the Stolen River | Вкрадена Річка
Mr Pages (форма звертання) | Пан Сторінки
his Complexity (титул) | його Складність
the Set (мистецьке угруповання) | Сет
the Agnihotri | Агніхотрі
the Mountain of Light | Гора Світла
the Mirrored Gates | Дзеркальні Брами
Caution (місто) | Осторога
the Pilgrim-Wakers | Будителі Прочан
