The Impossible Lamb | «Неможливе Ягня» (назва корабля)
Needle / Needles | Голка / Голки
Seaman Macfadzean | матрос Макфадзен
Wolf's Rift | Вовчий Розлам
Mirror-Marches | Дзеркальні Пограниччя
Writhing River | Звивиста Річка
Irridescence | Іридесценція
lungweed | легенева водорість
Venturer | Авантюрист
Watchers | Вартові
Skin-Check Post | Пост Перевірки Шкіри
Confirmation of Consolation | Підтвердження Розради
Lifeberg | Живолід
Putterpony | «Путерпоні» (назва корабля)
Companion | Супутник
Taimen Clan | клан Таймен
shapelings | формозмінні істоти
