Maw | Паща
the High Gate | Висока Брама
octomaran | октомаран
sorrow-spider | павук журби
the Serpentine | «Серпентин» (двигун)
Eater | Пожирач
Cannoneer | Канонір
Leopard princeling | Леопардовий царевич
the Factor | Фактор
Penstock | Пенсток
gumheart shroom | смолосерцевий гриб
Rat Star | Щуряча Зірка
Ambiguous Eoliths | двозначні еоліти
Extraordinary Implication | надзвичайний натяк
Enigmatic Gentleman | Загадковий Джентльмен
Icarus in Black | Ікар у Чорному
the Company | Компанія
Cook | Кухар
